ride_id,travel_date,travel_time,travel_from,car_type,max_capacity,number_of_tickets
1442,17-10-17,7:15,Migori,Bus,49,1.0
5437,19-11-17,7:12,Migori,Bus,49,1.0
5710,26-11-17,7:05,Keroka,Bus,49,1.0
5777,27-11-17,7:10,Homa Bay,Bus,49,5.0
5778,27-11-17,7:12,Migori,Bus,49,31.0
5781,27-11-17,7:09,Homa Bay,Bus,49,26.0
5784,20-04-18,5:10,Kisii,shuttle,11,1.0
5789,20-04-18,9:50,Kisii,shuttle,11,1.0
5790,20-04-18,7:06,Kisii,Bus,49,2.0
5791,20-04-18,6:00,Kisii,shuttle,11,1.0
5792,20-04-18,5:50,Kisii,shuttle,11,1.0
5793,20-04-18,10:58,Kisii,shuttle,11,1.0
5794,20-04-18,6:50,Kisii,shuttle,11,2.0
5795,20-04-18,5:30,Kisii,shuttle,11,1.0
5796,20-04-18,6:40,Kisii,shuttle,11,2.0
5797,27-11-17,7:06,Keroka,Bus,49,3.0
5798,20-04-18,9:10,Kisii,shuttle,11,1.0
5800,19-04-18,5:00,Kisii,shuttle,11,2.0
5801,19-04-18,5:20,Kisii,shuttle,11,11.0
5802,27-11-17,10:52,Keroka,shuttle,11,3.0
5803,19-04-18,5:10,Kisii,shuttle,11,11.0
5804,27-11-17,10:50,Keroka,shuttle,11,1.0
5808,19-04-18,7:06,Kisii,Bus,49,2.0
5809,19-04-18,10:51,Kisii,shuttle,11,1.0
5810,19-04-18,7:15,Kisii,shuttle,11,1.0
5811,19-04-18,8:20,Kisii,shuttle,11,1.0
5812,19-04-18,5:30,Kisii,shuttle,11,1.0
5816,18-04-18,5:10,Kisii,shuttle,11,1.0
5817,18-04-18,5:00,Kisii,shuttle,11,1.0
5822,18-04-18,7:06,Kisii,Bus,49,1.0
5823,18-04-18,6:40,Kisii,shuttle,11,2.0
5824,18-04-18,8:20,Kisii,shuttle,11,1.0
5825,18-04-18,19:03,Kisii,Bus,49,1.0
5826,18-04-18,5:30,Kisii,shuttle,11,1.0
5830,17-04-18,5:20,Kisii,shuttle,11,1.0
5834,17-04-18,7:02,Kisii,Bus,49,1.0
5835,17-04-18,6:40,Kisii,shuttle,11,2.0
5836,17-04-18,6:50,Kisii,shuttle,11,1.0
5837,17-04-18,7:06,Kisii,Bus,49,1.0
5838,17-04-18,6:30,Kisii,shuttle,11,1.0
5839,17-04-18,7:20,Kisii,shuttle,11,1.0
5840,17-04-18,5:30,Kisii,shuttle,11,1.0
5844,16-04-18,5:10,Kisii,shuttle,11,1.0
5845,16-04-18,5:00,Kisii,shuttle,11,1.0
5849,16-04-18,7:06,Kisii,Bus,49,1.0
5850,16-04-18,7:04,Kisii,Bus,49,1.0
5851,16-04-18,19:05,Kisii,Bus,49,1.0
5852,16-04-18,7:15,Kisii,shuttle,11,1.0
5853,16-04-18,5:30,Kisii,shuttle,11,1.0
5856,15-04-18,5:20,Kisii,shuttle,11,11.0
5857,15-04-18,5:00,Kisii,shuttle,11,4.0
5858,15-04-18,5:10,Kisii,shuttle,11,11.0
5861,15-04-18,19:04,Kisii,Bus,49,1.0
5862,15-04-18,7:04,Kisii,Bus,49,1.0
5863,15-04-18,6:40,Kisii,shuttle,11,1.0
5864,15-04-18,5:30,Kisii,shuttle,11,1.0
5867,14-04-18,5:10,Kisii,shuttle,11,9.0
5868,14-04-18,5:20,Kisii,shuttle,11,6.0
5873,14-04-18,6:59,Kisii,Bus,49,1.0
5874,14-04-18,7:06,Kisii,Bus,49,5.0
5875,27-11-17,7:08,Migori,Bus,49,3.0
5876,14-04-18,5:40,Kisii,shuttle,11,1.0
5878,14-04-18,5:30,Kisii,shuttle,11,2.0
5880,13-04-18,5:20,Kisii,shuttle,11,11.0
5881,13-04-18,5:00,Kisii,shuttle,11,1.0
5882,13-04-18,5:10,Kisii,shuttle,11,4.0
5886,13-04-18,9:00,Kisii,shuttle,11,1.0
5887,13-04-18,7:06,Kisii,Bus,49,1.0
5888,13-04-18,7:14,Kisii,Bus,49,1.0
5889,13-04-18,7:07,Kisii,Bus,49,1.0
5890,13-04-18,5:30,Kisii,shuttle,11,1.0
5894,12-04-18,5:00,Kisii,shuttle,11,11.0
5897,12-04-18,5:20,Kisii,shuttle,11,11.0
